review,clean_review,sentiment
TIGER Reigns: RIP to the Rajamouli Myth,tiger reign rip rajamouli myth,neutral
A Visual and Musical Extravaganza Elevated by NTR's Performance,visual music extravaganza elev ntr perform,neutral
NTR electrifying movements on screen and Anirudh awesome music and BGM,ntr electrifi movement screen anirudh awesom music bgm,neutral
Energetic movie. Very good bgm.,energet movi good bgm,neutral
"""A Gripping Epic with Stellar Performances""",grip epic stellar perform,neutral
Pirates of Paadhaghattam,pirat paadhaghattam,neutral
The Devara Review: A Half-Baked Action Spectacle,devara review halfbak action spectacl,neutral
Would've been a disaster if not for NTR,wouldv disast ntr,neutral
Watch for other wordly experience,watch wordli experi,neutral
1 time watch,time watch,neutral
"Time wast, money wast, visuvals not clear, hero like katikapari roteen dram there is no high. Voltage actions",time wast money wast visuv clear hero like katikapari roteen dram high voltag action,neutral
Superb movie and awesome story and terrific performance by ntr,superb movi awesom stori terrif perform ntr,neutral
DEVARA: Fear of the Red Sea,devara fear red sea,neutral
Worst movie ever!,worst movi ever,neutral
Blockbuster movie,blockbust movi,neutral
Fantastic Story line,fantast stori line,neutral
"Fights 1 to 50 , Ok Movie with some good scenes on the sea",fight ok movi good scene sea,neutral
Save your money and time,save money time,neutral
SUPER MOVIE AND BGM AWESOME,super movi bgm awesom,neutral
Avg content.. the will ride on JR NTRs popularity,avg content ride jr ntr popular,neutral
Middling Action Drama,middl action drama,neutral
"A Disappointing Watch with Poor VFX, Characters, and Story",disappoint watch poor vfx charact stori,negative
"Blockbuster movie, One of the best movie I have ever seen.",blockbust movi one best movi ever seen,neutral
DEVARA BLOCKBUSTER,devara blockbust,neutral
Rod movie,rod movi,neutral
